RDP 5,29750
SEB 1T,14500
LS 333,12950
178 RP,10950
181 EP,9500
T2 HEA,9500
282 GP,6950
JES 533S,6250
HEA 77S,4999
9943 RW,2650
E10 OTT,2450
R6 JSB,2300
G6 JSM,2295
3020 EH,2250
A15 DBX,2250
N3 JRB,2250
N4 MPH,2250
M5 AMH,2150
V2 ARH,2150
D9 DRB,1950
M5 JAR,1950
T7 RCS,1950
7977 PJ,1700
J27 KES,1599
J1 DCG,1500
T5 MRG,1500
J21 HUA,1399
J25 JJS,1399
LIL 677,1375
E5 SDC,1295
P22 DJW,1250
YB 8867,1250
H7 GAC,1150
L21 UTD,1150
W44 MJC,1150
Y90 MJC,1150
C6 GBS,1100
FSL 891,1100
J21 JCS,1100
X3 SAP,1100
