P 6,495000
1 HY,149850
1 TY,149850
1 YO,149850
6 RH,69850
9 PG,58850
6 KG,52990
1 AMK,49850
7 KG,48850
9 OL,39850
1 NWG,34990
A1 RAB,29870
1 EVV,29850
SUN 1S,29850
1 YOO,29850
6 OX,29790
1 FBS,29490
1 KFT,28490
71 AG,27850
59 MS,25990
54 NW,24850
3 UN,24850
6 DU,24490
43 MB,20990
SHA 11S,19990
M1 AXY,19850
1 GBX,19850
4 TVR,19850
L1 VES,19850
MXS 1,19490
8 DAT,17850
FS 59,16990
12 JET,15990
C1 BER,14990
B1 EST,14990
7 RSH,14490
9 JTH,13850
6 MST,13850
1 RHX,13850
L1 DLE,12990
8 GCS,12990
ULY 1,12850
WCG 3,12850
73 ASH,11950
65 AMB,11850
16 AMM,11850
5 JLK,11850
7 NCG,11850
K11 ROY,11850
8 GDP,10950
6 JBL,10850
LEA 1S,9999
COO 1S,9990
K9 EAT,9990
L1 EXY,9990
1111 GG,9990
R9 NNY,9850
RYL 4N,9850
S16 SON,9850
B16 TRY,9850
J1 OKE,9790
M10 ONS,9790
LAM 15A,9490
SEK 8,9490
S16 ART,8990
DCY 9,8990
6 GSK,8990
PAT 7L,8990
9 ALJ,8850
BEA 1S,7990
A1 ENS,7990
46 HL,7990
HOG 1X,7990
550 JT,7990
3 LEG,7790
A11 ONS,7790
ATH 3N,6990
COA 1S,6990
B11 EAL,6990
S7 GGY,6990
LW 797,6990
2000 KS,6850
A7 WEL,6850
PSK 6,6790
2000 LP,6690
MAX 4D,6450
MAX 4N,6450
L3 AKY,5995
JOS 1A,5990
TUN 3L,5850
VAN 3T,5850
M1 XCY,5850
LEE 449,5790
NH 638,5790
SFE 111,5490
7 CSJ,4990
B10 JET,4990
605 KM,4990
