31 A,85000
78 M,75000
91 J,67000
R 80,65000
53 JB,38000
64 JB,37500
CB 26,29000
89 AJ,26000
24 AJ,25500
70 RB,25000
98 DM,24000
32 RB,24000
47 DM,23500
31 JH,23500
58 SS,23000
57 KS,22500
CB 46,22000
70 AW,22000
81 RS,22000
84 PB,22000
88 TS,22000
51 SW,22000
KP 65,21500
64 AS,21500
97 JM,21500
97 RW,21000
42 DM,21000
96 RM,21000
93 RW,21000
97 CB,20000
47 DB,19500
86 RB,19500
93 CB,19500
49 AS,19500
OKM 1,18000
53 PD,17500
TP 28,17000
VBW 1,15000
92 LW,14500
62 LW,14000
V10 BEN,10000
2 LDW,8000
12 CBS,5500
