501 JB,9200
103 CH,8060
850 PW,7060
212 DW,6990
180 ME,6730
120 RD,6730
450 SK,6410
750 GP,6060
99 LJS,5720
1111 BW,5690
101 OR,5690
750 DR,5560
600 EP,4720
85 MCL,4720
103 NA,4720
2001 JT,4690
750 BW,4480
95 SDB,4450
333 CN,4210
1500 MJ,4210
2050 JG,4160
76 JCM,4050
AJC 52S,4000
300 BJ,3690
PJB 7B,3690
200 GE,3650
3240 CH,3610
8940 CH,3400
140 GF,3400
2512 HM,3340
1155 JJ,3010
850 JN,2990
679 SJG,2730
TJW 8W,2730
3000 EJ,2720
DJS 23S,2710
7273 JA,2710
769 MCD,2700
805 DEM,2690
AMH 2C,2610
SJH 11A,2600
MDS 297,2580
1414 GE,2530
2405 DJ,2510
MCD 88S,2300
SRS 8S,2200
1307 BL,2050
1803 CG,2050
1504 KJ,2050
1008 DE,2040
JDC 2J,2040
MJA 95X,2040
JDM 87X,1910
JDS 10A,1780
SAB 48A,1680
M88 OOO,1645
B33 CJB,1640
EMC 10M,1640
B88 MJH,1640
J26 TOM,1610
150 BJK,1600
CJB 34E,1600
JRC 18S,1590
CJH 44P,1500
KJC 21S,1500
EJB 7W,1430
MJT 22J,1390
REM 36Y,1390
CJP 10W,1380
B30 RAM,1380
ARM 95D,1360
DJR 23Y,1290
SAD 95X,1230
MER 16S,1190
