666 AP,8500
9 G,285000
JB 9,125000
ARO 1,120000
1 XB,105000
19 B,95000
14 O,95000
1 XD,95000
DBS 2,85000
A 79,85000
REN 1,80000
29 A,80000
7 OZ,80000
XXX 1,75000
1 XY,75000
86 G,58000
6 AG,55000
X 28,55000
4 XX,55000
56 L,50000
56 J,48000
16 OLD,45000
28 X,45000
L 56,43000
DN 8,40000
NEJ 1,38500
LUC 2Y,38000
837 H,38000
LOT 22,35000
A 166,35000
1 GTD,35000
3 GEO,35000
1 RPB,35000
SUN 2,35000
TWA 1,35000
A 363,33000
DW 21,33000
CLA 5Y,30000
AP 28,30000
FJ 10,30000
200 A,30000
96 Y,30000
1 DOT,29000
818 M,28000
XXX 4,28000
38 AC,28000
42 AC,28000
CU 3,28000
DEN 718T,27000
GIL 2,27000
36 Y,26000
DB10 BND,25000
S57 NGH,25000
60 MG,25000
999 G,25000
VMB 1,25000
1 HEJ,23000
RVD 1,22500
CHL 100E,22000
PAR 444,22000
XOO 1,22000
D 5758,21000
NAS 12,21000
10 BG,21000
45 JT,21000
1 XXB,20000
1 CSV,20000
EYO 1,20000
333 AS,19500
1 HKV,19500
1 PJX,19500
OXS 1,19000
1 FNN,18800
JAM 66S,18000
LEW 18S,18000
ROB 32T,18000
AB 787,18000
AM 256,18000
73 PS,18000
VRK 1,18000
1 CYV,17500
1 RVO,17500
SDP 111E,16000
MUS 55A,16000
JAK 8E,16000
888 JT,14000
222 P,20000
1 XXA,16000
1 VDN,16000
600 NER,15500
KAU 6R,15500
700 X,15500
1 XBC,15500
YRV 1,15500
BN 66,15500
700 MH,15000
6 BMH,15000
BBC 3,15000
21 BG,15000
CDS 2,15000
LWO 1,15000
16 WR,15000
115 CB,14000
SEA 8N,14000
3 SAC,14000
ANN 7S,13500
550 CC,13500
102 AS,13000
650 JB,13000
800 JT,11000
LEA 9H,13000
OWE 2N,13000
1 XXG,13000
10 EN,13000
3 BBC,12500
F599 HOT,12000
1111 GK,12000
102 SG,12000
62 RF,12000
OO 450,11500
DES 88,11500
GLS 12,11500
OMA 5R,11500
N47 LER,11000
XSA 24H,11000
850 MH,11000
112 TB,11000
BET 2H,11000
21 JJM,11000
SOP 13,11000
8 JAD,11000
JAM 1R,10800
250 PK,10800
888 TM,10800
1 EXS,10800
REJ 3,10800
1 VTV,10800
1 XOX,10800
AYM 19N,10500
MWD 5,10500
925 W,10500
225 AC,10000
333 BH,10000
650 CW,10000
880 GM,10000
VVC 2,10000
22 OJ,10000
XXX 1G,9800
XXX 1P,9800
180 LD,9800
MUD 1Y,9800
OOO 7A,9800
101 OU,9800
1 FXS,9800
2 KKS,9800
1 URD,9800
573 LLA,9500
CDS 12,9500
TED 1B,9500
MAL 11Y,9000
F10 NNA,9000
110 BH,9000
786 PB,9000
SAM 293,8800
OOO 1X,8800
JLT 93,8000
2 CFG,8800
PHC 9,8800
3 AKE,8800
FXN 1,8800
BLA 66K,8500
CSV 137,8500
HYD 31R,8500
RAW 777,8500
2 ESJ,8500
FP 23,8500
2 OBO,8500
V6 MAX,8000
4 GAK,8000
JIG 61,7850
COL 117X,7800
C442 TER,7800
PHC 11,7800
FAS 6L,7800
