2 XS,210000
CHR 11S,120000
D 51,100000
86 P,89000
1 SSB,71000
JAG 114R,65000
AE 11,60000
87 A,80000
K1 TCH,55000
14 FER,50000
TAH 1,50000
5 MF,48000
2 EA,44000
111 AMS,40000
1 TDY,36000
FOD 1,33000
1 LPJ,32000
P9 KER,31000
1 DLP,30000
1 PHR,28000
SDF 1,28000
ASH 113Y,26000
66 PP,26000
B7 ECK,25500
B7 GUM,25500
OLG 4A,25000
1 XXS,24000
1 JDJ,23995
KLA 5S,22500
7 GY,22000
30 PC,22000
DM 38,22000
A147 SNK,21000
22 AMS,20000
AVS 1,19995
49 SG,29995
61 SG,29995
MA17 CTY,19995
8 MSS,19000
99 DD,18500
COO 2,18000
JAV 7D,16500
SUR 71T,16500
SKG 3,16000
M7 OWN,15500
CHR 157Y,15000
9 SLK,15000
ALJ 3,15000
A4 RAB,15000
8 JLS,15000
7778 S,14995
101 RR,14000
DSJ 5,13000
4 DSG,13000
13 SV,13000
KW 48,12995
D3 CCO,12000
YOM 1,12000
3 BEC,12000
K11 STY,11500
2 NEY,12000
KAM 6L,11000
SEC 8,10995
B4 RSH,10500
HGR 4Y,10500
D6 WAR,10000
S13 VEN,10000
30 RO,10000
27 KT,9995
2 JWA,9995
5 MON,9995
.OCT 2,9900
8 AJR,9900
6 PHR,9500
500 KW,9250
1 HNJ,15000
1 DGV,8995
66 WG,8800
TEF 10N,6500
GTR 130Y,8800
USD 2,8800
2 LPJ,8500
TH12 STY,8500
JR 216,8500
JCP 9,8000
2 FOD,8000
4 FOD,8000
8 FOD,8000
3 DJN,8000
E4 SBY,7995
5 LXX,7995
5 EVE,7995
REC 5,7700
L15 OFA,7500
TRV 7,7500
414 JG,7500
MEW 11,7500
KCT 9,6700
TGT 4,7000
31 FF,7000
WE57 TWO,7000
HA12 DOO,6995
5 HJW,6600
DAN 3W,6600
A6 EEP,6500
BOB 964,6500
22 NYC,6500
NUT 99,5995
175 OK,5995
111 WP,5995
6 TRS,5500
K11 SCH,5500
N7 ORK,5500
R4 MFC,5500
JET 51N,5500
ESS 33X,5500
CAC 36,5500
H1 DTF,5500
15 FN,5500
14 FN,5500
H17 MED,5500
HSC 29,5500
2000 RL,10000
YAM 900,5490
Y8 AMV,5000
1978 PM,5000
9 JNG,5000
71 RES,4995
LP56 LAM,4995
5 KSE,4995
10 GJL,4995
954 FAB,4995
M1 RVN,4995
HH 113,4995
VLO 8,4995
12 MCJ,4995
3399 DW,4500
13 SLK,4500
88 HEA,4500
4 GDR,4500
WMJ 11,4500
27 KEN,4400
456 GUY,4400
F288 GTO,4250
707 JET,4250
C16 ARE,3995
MP 8740,3995
H41 PEN,3600
PYA 7,3500
9995 CD,3400
15 BAG,3250
TH11 EFX,3200
CMR 256,3200
SAV 11C,3000
Y8 AMU,3000
LJG 458,3000
FL12 TER,2995
UUU 1M,2995
GS 3294,2800
R11 ADH,2800
J19 MPS,2800
WEB 4K,2750
864 CMR,2600
B11 LSS,2500
A44 SHY,2500
OO02 POO,2500
YO02 POO,2500
GWI 456,2500
94 DHA,2500
GK 8884,2400
OCT 623,2400
OCT616,2400
OCT 769,2400
HEJ 876,2400
V12 SEC,2250
J1 SJK,2200
X3 ABW,2000
J1 MXK,1995
MDP 127,1995
V8 UPU,1995
H1 JDJ,1995
M41 KAH,1800
H5 DEN,1800
X1 REC,1800
S1 RWP,1500
9053 TE,1500
T1 RXB,1500
E3 MAK,1500
220 BWO,1495
310 DYE,1495
JBW 22S,1400
G1 GCK,1295
Y1 CCH,1250
ORC 219,1250
S111 RWP,600
V4 MRT,950
ME11 MEE,750
RPH 2,16500
SO66 OOL,3300
DP 63,16500
1234 BD,4500
72 ROD,4500
4 DVD,6600
6 EAJ,4400
16 VG,5500
14 VG,5500
BEN 80Y,8800
5 MKG,6600
ADS 786,11000
SUL 9,8800
14 JO,22000
6 GBX,3000
15 CL,27500
AE11 OYD,2100
HT11 OYD,2100
91 NOB,2950
201 AX,49950
MRS 1M,16500
S1 ORT,11000
F19 SJF,950
C1 CEL,4950
2500 HL,3500
BMC 345,4500
SAM 23,14500
11 RFU,16500
JGA 1,59950
1 WPC,27500
11 WPC,12000
TXI 777,1800
TAZ 8972,650
EGG 5S,4500
EGG 50K,3500
1 YNE,25000
NCF 1C,3500
AJ 52,29000
BAJ 2,11000
700 K,26500
UDV 147,995
JAB 9A,3800
SR 25,30000
SR 30,30000
ASR 123,11000
YSR 22,3500
YSR 222,2500
800 PUA,2500
TSR 77,9000
GTR 44,9000
WSR 130,3000
WSR 915,2750
MWD 17,8000
4 RSW,13500
911 PDK,50000
100 NJB,8250
32 KAY,11000
P1 ERV,3300
XPW 1,12600
XPW 2,4950
F1 JSX,1300
